source,dest,te,mean,std
inft1,inft2,8.223171145278413e-05,0.0175876894956584,0.03499446150226346
inft1,inft3,7.4758222987222e-05,0.009154535370913184,0.0273637911565935
inft1,inft4,4.431868479536194e-05,0.0068597670712299275,0.02280909192531122
inft2,inft1,4.306497962082649e-05,0.020534229024008078,0.03812991111956011
inft2,inft3,0.0002996958930703629,0.05569438224627424,0.044088321801144914
inft2,inft4,3.462247594664667e-05,0.05348883885823012,0.07672186968312548
inft3,inft1,0.0002321748816307258,0.01605878986920453,0.03237714060452406
inft3,inft2,0.00011526570671873647,0.07874733932019021,0.03998436968656436
inft3,inft4,6.92612563510795e-05,0.043788937929145046,0.05069746002872869
inft4,inft1,6.77384553992782e-05,0.008262900478313287,0.020582362901292617
inft4,inft2,3.0562462551480316e-05,0.07416951455473657,0.05063380311775964
inft4,inft3,7.297574902767835e-05,0.04371821485323734,0.029812623154052986
virs1,virs2,8.381316123902921e-05,0.010953303683279148,0.020193004686297016
virs1,virs3,3.951678165618238e-06,0.008176583373246142,0.01743816827765362
virs1,virs4,0.00012262048230783995,0.005308730996818643,0.01124441918952299
virs2,virs1,6.469990151840264e-05,0.006336245224784145,0.01651847577265168
virs2,virs3,3.050944135718825e-05,0.012955013592143514,0.018466011502656858
virs2,virs4,0.00011473904948486976,0.005250086480597455,0.008649396356811674
virs3,virs1,0.00011370518915309298,0.009211947853837133,0.02587369546334163
virs3,virs2,0.0001031657888518022,0.025484604481035723,0.022784054242446027
virs3,virs4,0.00012115327827339167,0.01445997163640942,0.016739752621929734
virs4,virs1,7.615132264792633e-06,0.00839553784524159,0.016991664089857108
virs4,virs2,5.319636187979432e-05,0.022100411058603893,0.017053837457992018
virs4,virs3,4.6166264895786755e-05,0.025956501511702968,0.015550076160972759
inft1,virs1,6.747378185099154e-05,0.005320040922957217,0.012115221472157885
virs1,inft1,0.00014831236905399556,0.023675202005420896,0.041835399026286954
inft2,virs2,0.00022549906500033152,0.025564513478930483,0.02414764494162513
virs2,inft2,7.203098838264889e-05,0.04614465400039434,0.043917063867503235
inft3,virs3,1.654271488076349e-05,0.026859588783070484,0.01865600143289168
virs3,inft3,0.0001224989484000507,0.0581942059782911,0.03374525349494863
inft4,virs4,0.00016281598544122828,0.014759800277083521,0.019711918519972275
virs4,inft4,0.00011311510457602681,0.04149449463484563,0.03218117788617871

